查询所有生产订单信息	SELECT * FROM kn_quality_trace_prod_order;
查看设备异常数据	SELECT * FROM kn_quality_equipment_exception_data;
查询生产订单和对应的设备异常信息	SELECT A.*, B.* FROM kn_quality_trace_prod_order A LEFT JOIN kn_quality_equipment_exception_data B ON A.deviceid_s = B.device_id;
查看生产订单的自互检数据	SELECT A.*, B.* FROM kn_quality_trace_prod_order A LEFT JOIN kn_quality_trace_prod_order_self B ON A.orderno_s = B.workordernumber_s AND A.serialname_s = B.serialname_s;
查询生产订单及其过程记录	SELECT A.*, B.* FROM kn_quality_trace_prod_order A LEFT JOIN kn_quality_trace_prod_order_process B ON A.workorderno_s = B.orderno AND A.wbsnumber_s = B.wbsno_s AND A.partno_s = B.part_number;
查看生产订单和工序检验记录	SELECT A.*, B.* FROM kn_quality_trace_prod_order A LEFT JOIN kn_quality_trace_prod_order_route B ON A.workorderno_s = B.orderno AND A.wbsnumber_s = B.wbsno_s AND A.partno_s = B.partno_s;
查看BOM数据和故障批次范围	SELECT A.*, B.* FROM kn_quality_trace_bom_data A LEFT JOIN kn_quality_trace_bom_data_fault B ON A.order_number = B.workorderno_s AND A.material_number = B.partno_s;
查询BOM数据和供方检验报告	SELECT A.*, B.* FROM kn_quality_trace_bom_data A LEFT JOIN kn_quality_trace_bom_data_supplier B ON A.ebeln = B.order_no AND A.material_number = B.material_code AND A.batch = B.batch;
查找特定项目的生产订单	SELECT * FROM kn_quality_trace_prod_order WHERE projectname_s = '某项目名称';
查看指定时间范围内的设备异常	SELECT * FROM kn_quality_equipment_exception_data WHERE exception_time BETWEEN '2024-01-01' AND '2024-12-31';
查询已完成的生产订单	SELECT * FROM kn_quality_trace_prod_order WHERE orderstate_s = '已完成';
查看特定物料的BOM数据	SELECT * FROM kn_quality_trace_bom_data WHERE material_number = 'MAT001';
查询检验不合格的供方检验报告	SELECT * FROM kn_quality_trace_bom_data_supplier WHERE result = '2';
查看超期的生产订单	SELECT * FROM kn_quality_trace_prod_order WHERE actualendtime_t > planendtime_t;
查询特定设备的异常记录	SELECT * FROM kn_quality_equipment_exception_data WHERE device_name = '设备A';
查看生产订单的质检统计	SELECT projectname_s, COUNT(*) as order_count FROM kn_quality_trace_prod_order GROUP BY projectname_s;
查找延迟开始的生产订单	SELECT * FROM kn_quality_trace_prod_order WHERE actualstarttime_t > planstarttime_t;
查询特定工序的检验记录	SELECT A.*, B.* FROM kn_quality_trace_prod_order A LEFT JOIN kn_quality_trace_prod_order_self B ON A.orderno_s = B.workordernumber_s WHERE B.routeoperaname_s = '焊接';
查看缺陷数量大于0的BOM数据	SELECT * FROM kn_quality_trace_bom_data WHERE defect_quantity > 0;
查询特定供应商的检验报告	SELECT * FROM kn_quality_trace_bom_data_supplier WHERE sup_company_name = '供应商A';
查找生产订单中使用的设备类型统计	SELECT A.mainrescode_s, COUNT(*) as usage_count FROM kn_quality_trace_prod_order A GROUP BY A.mainrescode_s;
查看生产订单和对应的自互检完成情况	SELECT A.workorderno_s, A.partname_s, B.testsortupcheck_s FROM kn_quality_trace_prod_order A LEFT JOIN kn_quality_trace_prod_order_self B ON A.orderno_s = B.workordernumber_s AND A.serialname_s = B.serialname_s WHERE B.testsortupcheck_s IS NOT NULL;
查询生产周期最长的订单	SELECT * FROM kn_quality_trace_prod_order WHERE DATEDIFF(actualendtime_t, actualstarttime_t) = (SELECT MAX(DATEDIFF(actualendtime_t, actualstarttime_t)) FROM kn_quality_trace_prod_order);
查找特定产线的生产订单统计	SELECT prolinename_s, COUNT(*) as count, AVG(quantity_s) as avg_quantity FROM kn_quality_trace_prod_order WHERE prolinename_s = '产线1' GROUP BY prolinename_s;
查看生产订单和工序检验的质检状态	SELECT A.workorderno_s, A.orderstate_s, B.checkstate FROM kn_quality_trace_prod_order A LEFT JOIN kn_quality_trace_prod_order_route B ON A.workorderno_s = B.orderno AND A.wbsnumber_s = B.wbsno_s;
查询BOM数据中库存不足的物料	SELECT * FROM kn_quality_trace_bom_data WHERE unrestricted_stock < required_quantity;
查找特定检验员的检验记录	SELECT * FROM kn_quality_trace_bom_data WHERE inspector = '检验员001';
查看生产订单的设备使用情况和异常记录	SELECT A.workorderno_s, A.mainrescode_s, B.device_name, B.reason FROM kn_quality_trace_prod_order A LEFT JOIN kn_quality_equipment_exception_data B ON A.deviceid_s = B.device_id WHERE B.reason IS NOT NULL;
查询按月份统计的生产订单数量	SELECT DATE_FORMAT(planstarttime_t, '%Y-%m') as month, COUNT(*) as order_count FROM kn_quality_trace_prod_order GROUP BY DATE_FORMAT(planstarttime_t, '%Y-%m');
查找生产过程中的质检异常	SELECT A.*, B.* FROM kn_quality_trace_prod_order A LEFT JOIN kn_quality_trace_prod_order_process B ON A.workorderno_s = B.orderno WHERE B.checkuserstate = '异常';
查看特定图号的物料检验情况	SELECT A.*, B.* FROM kn_quality_trace_bom_data A LEFT JOIN kn_quality_trace_bom_data_supplier B ON A.ebeln = B.order_no WHERE A.zzthzq = 'TH001';
查找批次质量问题的追溯信息	SELECT A.*, B.* FROM kn_quality_trace_bom_data A LEFT JOIN kn_quality_trace_bom_data_fault B ON A.order_number = B.workorderno_s AND A.material_number = B.partno_s WHERE A.defect_quantity > 0;
查看生产订单的工位使用情况	SELECT locationnumber_s, wcname_s, COUNT(*) as usage_count FROM kn_quality_trace_prod_order GROUP BY locationnumber_s, wcname_s;
查询供应商检验报告的合格率	SELECT sup_company_name, (SUM(CASE WHEN result = '1' THEN 1 ELSE 0 END) / COUNT(*)) * 100 as qualified_rate FROM kn_quality_trace_bom_data_supplier GROUP BY sup_company_name;
查找生产订单和质检记录的完整链路	SELECT A.workorderno_s, A.partname_s, B.testsortname_s, C.checkstate FROM kn_quality_trace_prod_order A LEFT JOIN kn_quality_trace_prod_order_self B ON A.orderno_s = B.workordernumber_s LEFT JOIN kn_quality_trace_prod_order_route C ON A.workorderno_s = C.orderno;
查看设备异常频率统计	SELECT device_name, type, COUNT(*) as exception_count FROM kn_quality_equipment_exception_data GROUP BY device_name, type ORDER BY exception_count DESC;
查询生产订单的工艺路线执行情况	SELECT A.*, B.routeoperaname_s, B.testsortupcheck_s FROM kn_quality_trace_prod_order A LEFT JOIN kn_quality_trace_prod_order_self B ON A.orderno_s = B.workordernumber_s WHERE A.routeno_s IS NOT NULL;
查找物料检验中的不合格项	SELECT A.material_description, A.defect_quantity, B.item_name, B.conclusion FROM kn_quality_trace_bom_data A LEFT JOIN kn_quality_trace_bom_data_supplier B ON A.material_number = B.material_code WHERE A.defect_quantity > 0;
查看生产计划执行偏差分析	SELECT projectname_s, AVG(DATEDIFF(actualendtime_t, planendtime_t)) as avg_delay FROM kn_quality_trace_prod_order WHERE actualendtime_t IS NOT NULL GROUP BY projectname_s;
查找特定时间段的设备异常趋势	SELECT DATE(exception_time) as date, device_name, COUNT(*) as exception_count FROM kn_quality_equipment_exception_data WHERE exception_time BETWEEN '2024-01-01' AND '2024-01-31' GROUP BY DATE(exception_time), device_name;
查看BOM数据的供应商分布	SELECT supplier_name, COUNT(*) as material_count, SUM(required_quantity) as total_quantity FROM kn_quality_trace_bom_data GROUP BY supplier_name;
查询生产订单和检验批次的关联	SELECT A.workorderno_s, A.partname_s, B.checkbatch, B.checkusername FROM kn_quality_trace_prod_order A LEFT JOIN kn_quality_trace_prod_order_process B ON A.workorderno_s = B.orderno;
查找质检不通过的生产订单	SELECT A.*, B.testsortupcheck_s FROM kn_quality_trace_prod_order A LEFT JOIN kn_quality_trace_prod_order_self B ON A.orderno_s = B.workordernumber_s WHERE B.testsortupcheck_s = '不合格';
查看物料采购和检验的完整流程	SELECT A.material_number, A.material_description, A.supplier_name, B.result, B.sup_result FROM kn_quality_trace_bom_data A LEFT JOIN kn_quality_trace_bom_data_supplier B ON A.ebeln = B.order_no;
查询生产订单中的设备故障关联分析	SELECT A.workorderno_s, A.mainrescode_s as equipment_name, B.device_name, B.reason, B.exception_time FROM kn_quality_trace_prod_order A INNER JOIN kn_quality_equipment_exception_data B ON A.deviceid_s = B.device_id;
查找某个项目所有订单的质检状态	SELECT A.projectname_s, A.workorderno_s, B.testsortname_s, B.testsortupcheck_s FROM kn_quality_trace_prod_order A LEFT JOIN kn_quality_trace_prod_order_self B ON A.orderno_s = B.workordernumber_s WHERE A.projectname_s = 'CRH380D';
查看供应商检验报告的详细项目	SELECT A.material_name, B.item_name, B.base_value, B.measure_value, B.review_value, B.conclusion FROM kn_quality_trace_bom_data_supplier A LEFT JOIN kn_quality_trace_bom_data_supplier B ON A.id = B.id WHERE B.item_name IS NOT NULL;
查询生产订单按工厂的分布情况	SELECT factorynumber_s, COUNT(*) as order_count, SUM(quantity_s) as total_quantity FROM kn_quality_trace_prod_order GROUP BY factorynumber_s;
查找生产异常和设备异常的关联	SELECT A.workorderno_s, A.orderstate_s, B.device_name, B.reason FROM kn_quality_trace_prod_order A LEFT JOIN kn_quality_equipment_exception_data B ON A.deviceid_s = B.device_id WHERE A.orderstate_s = '异常';
查看物料检验的抽检和复核数据对比	SELECT material_name, appear_sample_quality, appear_review_quality, size_sample_quality, size_review_quality FROM kn_quality_trace_bom_data_supplier WHERE appear_sample_quality IS NOT NULL;
